iid,gcd,student_entity_id,total_minutes,content_progress
CAL2LR,GRADE1,9388942,2586,0.584
CAM2LM,GRADE1,10604883,92,0.142
CAM2LM,GRADE2,10471721,1177,0.987
CAL2LR,GRADE1,10533853,504,0.061
CAL2LR,GRADE1,9617602,531,0.096
CAL2LR,GRADE1,10100398,2725,0.922
CAM2LM,GRADE1,10477337,712,1
CAM2LM,GRADE2,10511336,1072,1
CAM2LM,GRADE2,10471696,956,0.389
CAM2LM,GRADE2,9498534,22,0.008
CAM2LM,GRADE2,10471708,2273,0.923
CAM2LM,GRADE2,10471709,3644,1
CAM2LM,GRADE1,10138959,3601,0.882
CAM2LM,GRADE2,10471698,0,0
CAM2LM,GRADE1,9498593,98,0.025
CAM2LM,GRADE2,10471710,628,0.191
CAM2LM,GRADE1,10138957,2436,0.99
CAM2LM,GRADE2,10471697,25,0
CAM2LM,GRADE1,9498583,108,0.061
HOS2LS,GRADE2,10418214,172,0.036
HOS2LS,GRADE1,10474220,139,0.112
OZO2OC,GRADE2,10295856,143,0.058
CRO2LU,GRADE2,9870467,1053,0.264
BAR2LT,GRADE2,10149453,1291,0.336
BAR2LT,GRADE1,9752581,193,0.035
OZO2OC,GRADE2,10295859,1280,0.359
SAF2OD,GRADE1,10502622,138,0.037
RIC2LU,GRADE1,9670980,884,0.577
SAN2OD,GRADE2,9265764,1680,0.564
SAN2OD,GRADE1,9265754,1994,0.748
CAM2LM,GRADE1,10511335,1755,0.356
SOU2LT,GRADE2,10278169,1459,0.397
MCM2LR,GRADE2,10361406,1383,0.362
PLU2LS,GRADE2,9166681,3932,0.778
OAK2LT,GRADE1,10453734,424,0.227
CAM2LM,GRADE1,10138963,2010,0.478
CAM2LM,GRADE1,9498597,143,0.091
CRO2LU,GRADE1,9870501,3207,1
SKY2LU,GRADE2,10576143,0,0
RIC2LU,GRADE1,9584427,933,0.211
MCM2LR,GRADE2,10085110,8,0
ANO2LT,GRADE2,10093617,1424,0.312
CAM2LM,GRADE1,10376047,1918,0.943
CAM2LM,GRADE2,10511341,2184,0.582
CAM2LM,GRADE1,10427757,1985,0.791
